"","Cluster","direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","down","down","GO:0002446","neutrophil mediated immunity","60/441","499/18862",6.70860124492624e-26,2.98130239324522e-22,2.34871660427628e-22,"ARG1/LTF/MMP8/TRPM2/CD93/OLFM4/LPCAT1/ADGRE5/ROCK1/CEACAM8/PYGL/ALOX5/CKAP4/RNASET2/SLCO4C1/PRKCD/DEFA4/DNAJC3/CAMP/ADAM8/PGM2/ABCA13/ACTR2/HK3/PTPRC/ATP8B4/CRISP3/DEFA1/OLR1/MOSPD2/ORM2/IQGAP1/CR1/LCN2/RAB27A/ITGB2/VCL/SLC15A4/WDR1/TCIRG1/TMEM30A/LAIR1/SDCBP/ORM1/SLC11A1/ITGAM/CDK13/MAPK1/CAPN1/LAMP1/MVP/IGF2R/PTX3/ADAM17/ARSA/STXBP3/SLC2A3/VCP/CAP1/DOCK2",60
"2","down","down","GO:0042119","neutrophil activation","59/441","500/18862",4.80145726087767e-25,9.32795060296889e-22,7.34870522181878e-22,"ARG1/LTF/MMP8/TRPM2/CD93/OLFM4/LPCAT1/ADGRE5/ROCK1/CEACAM8/PYGL/ALOX5/CKAP4/RNASET2/SLCO4C1/PRKCD/DEFA4/DNAJC3/CAMP/ADAM8/PREX1/PGM2/ABCA13/ACTR2/HK3/PTPRC/ATP8B4/CRISP3/DEFA1/OLR1/MOSPD2/ORM2/IQGAP1/CR1/LCN2/RAB27A/ITGB2/VCL/SLC15A4/TCIRG1/TMEM30A/LAIR1/SDCBP/ORM1/SLC11A1/ITGAM/CDK13/MAPK1/CAPN1/LAMP1/MVP/IGF2R/PTX3/ARSA/STXBP3/SLC2A3/VCP/CAP1/DOCK2",59
"3","down","down","GO:0043312","neutrophil degranulation","58/441","485/18862",6.29699635663966e-25,9.32795060296889e-22,7.34870522181878e-22,"ARG1/LTF/MMP8/TRPM2/CD93/OLFM4/LPCAT1/ADGRE5/ROCK1/CEACAM8/PYGL/ALOX5/CKAP4/RNASET2/SLCO4C1/PRKCD/DEFA4/DNAJC3/CAMP/ADAM8/PGM2/ABCA13/ACTR2/HK3/PTPRC/ATP8B4/CRISP3/DEFA1/OLR1/MOSPD2/ORM2/IQGAP1/CR1/LCN2/RAB27A/ITGB2/VCL/SLC15A4/TCIRG1/TMEM30A/LAIR1/SDCBP/ORM1/SLC11A1/ITGAM/CDK13/MAPK1/CAPN1/LAMP1/MVP/IGF2R/PTX3/ARSA/STXBP3/SLC2A3/VCP/CAP1/DOCK2",58
"4","down","down","GO:0002283","neutrophil activation involved in immune response","58/441","488/18862",8.65906586110146e-25,9.62022217168373e-22,7.57896133000618e-22,"ARG1/LTF/MMP8/TRPM2/CD93/OLFM4/LPCAT1/ADGRE5/ROCK1/CEACAM8/PYGL/ALOX5/CKAP4/RNASET2/SLCO4C1/PRKCD/DEFA4/DNAJC3/CAMP/ADAM8/PGM2/ABCA13/ACTR2/HK3/PTPRC/ATP8B4/CRISP3/DEFA1/OLR1/MOSPD2/ORM2/IQGAP1/CR1/LCN2/RAB27A/ITGB2/VCL/SLC15A4/TCIRG1/TMEM30A/LAIR1/SDCBP/ORM1/SLC11A1/ITGAM/CDK13/MAPK1/CAPN1/LAMP1/MVP/IGF2R/PTX3/ARSA/STXBP3/SLC2A3/VCP/CAP1/DOCK2",58
"5","down","down","GO:0010256","endomembrane system organization","33/441","482/18862",3.92930780310941e-08,3.49236877540365e-05,2.75134268487198e-05,"GOLGB1/GOLGA2/RAB43/GAK/PRKCD/SYNE1/AKAP8L/SPTBN5/MYH9/PTPRC/HGS/ATP8B4/VCPIP1/CR1/PTEN/TRAPPC8/VPS4B/RAB27A/STAM2/ABCA7/STX4/TRAPPC11/MAPK1/DNM2/CSNK1D/PACSIN2/CHMP4B/TMF1/AP3D1/DYSF/OSBPL2/CCDC47/LYST",33
"6","down","down","GO:0071900","regulation of protein serine/threonine kinase activity","32/441","492/18862",2.04260403181189e-07,0.000151288871956201,0.000119187737014146,"HEXIM1/LTF/TAOK2/SFRP1/MLKL/PRKCD/TAOK3/ADAM8/PTPRC/HIPK3/HGS/MAP3K5/RIPK1/PRKAR2A/IQGAP1/PRKAR1A/CDKN2B/PTEN/MAPK10/CDK5RAP3/LATS2/SESN2/APC/MAPK1/KRAS/STK3/IRAK3/PIK3CG/SORL1/ADAM17/RALB/MAPRE3",32
"7","down","down","GO:0007041","lysosomal transport","14/441","111/18862",3.16422786286478e-07,0.00020088326603673,0.000158258975517117,"GAK/NEDD4/SPTBN5/SORT1/HGS/ZFYVE16/VPS4B/DENND3/LAMP1/IGF2R/SORL1/AP3D1/LYST/VCP",14
"8","down","down","GO:0007044","cell-substrate junction assembly","13/441","100/18862",5.86792076968201e-07,0.000306613043229809,0.000241554545876722,"KDR/ROCK2/TAOK2/ITGB4/SLK/SFRP1/ROCK1/DAPK3/COL17A1/IQGAP1/PTEN/VCL/MMP14",13
"9","down","down","GO:0007034","vacuolar transport","16/441","153/18862",6.20953507891152e-07,0.000306613043229809,0.000241554545876722,"GAK/NEDD4/SPTBN5/SORT1/HGS/ZFYVE16/VPS4B/SLC15A4/DENND3/LAMP1/IGF2R/SORL1/CHMP4B/AP3D1/LYST/VCP",16
"10","down","down","GO:0032496","response to lipopolysaccharide","24/441","326/18862",8.10218772685662e-07,0.000360061222581508,0.00028366185662658,"ARG1/PTGFR/LTF/DEFA3/UPF1/CEBPB/DEFA4/NOTCH1/DEFA1/PLCG2/ADAM9/IFNAR1/RPS6KA3/OTUD5/SLC11A1/MAPK1/CSF2RB/PPARGC1A/IRAK3/SOD2/PAF1/HCK/ADAM17/CTR9",24
"11","down","down","GO:0150115","cell-substrate junction organization","13/441","106/18862",1.15663101447557e-06,0.000467278929848132,0.000368129641545049,"KDR/ROCK2/TAOK2/ITGB4/SLK/SFRP1/ROCK1/DAPK3/COL17A1/IQGAP1/PTEN/VCL/MMP14",13
"12","down","down","GO:0051893","regulation of focal adhesion assembly","10/441","64/18862",2.1602913028711e-06,0.0007350921796859,0.000579117103992445,"KDR/ROCK2/SLK/SFRP1/ROCK1/DAPK3/IQGAP1/PTEN/VCL/MMP14",10
"13","down","down","GO:0090109","regulation of cell-substrate junction assembly","10/441","64/18862",2.1602913028711e-06,0.0007350921796859,0.000579117103992445,"KDR/ROCK2/SLK/SFRP1/ROCK1/DAPK3/IQGAP1/PTEN/VCL/MMP14",10
"14","down","down","GO:0002237","response to molecule of bacterial origin","24/441","346/18862",2.3157719432049e-06,0.0007350921796859,0.000579117103992445,"ARG1/PTGFR/LTF/DEFA3/UPF1/CEBPB/DEFA4/NOTCH1/DEFA1/PLCG2/ADAM9/IFNAR1/RPS6KA3/OTUD5/SLC11A1/MAPK1/CSF2RB/PPARGC1A/IRAK3/SOD2/PAF1/HCK/ADAM17/CTR9",24
"15","down","down","GO:0001659","temperature homeostasis","16/441","171/18862",2.73872834432766e-06,0.000811393917479475,0.000639228805139214,"TRPM2/ACADVL/GRB10/CEBPB/NOTCH1/PTH2R/ARNTL/LCN2/IL18R1/ZNF516/MFN2/APC/PPARGC1A/ADAM17/NRDC/STAT3",16
"16","down","down","GO:0150116","regulation of cell-substrate junction organization","10/441","69/18862",4.36981984664674e-06,0.00112005981386906,0.000882400620808301,"KDR/ROCK2/SLK/SFRP1/ROCK1/DAPK3/IQGAP1/PTEN/VCL/MMP14",10
"17","down","down","GO:0031589","cell-substrate adhesion","24/441","359/18862",4.3738822987683e-06,0.00112005981386906,0.000882400620808301,"KDR/ROCK2/TAOK2/ITGB4/FLNA/SLK/OLFM4/SFRP1/ROCK1/ACTN4/DAPK3/COL17A1/NOTCH1/PREX1/IQGAP1/PTEN/JAG1/ITGB2/VCL/ADAM9/NTNG2/DNM2/MMP14/THBS3",24
"18","down","down","GO:0048041","focal adhesion assembly","11/441","85/18862",4.53749647097098e-06,0.00112005981386906,0.000882400620808301,"KDR/ROCK2/TAOK2/SLK/SFRP1/ROCK1/DAPK3/IQGAP1/PTEN/VCL/MMP14",11
"19","down","down","GO:0006469","negative regulation of protein kinase activity","19/441","243/18862",4.788734577748e-06,0.00112005981386906,0.000882400620808301,"HEXIM1/SFRP1/PRKCD/TAOK3/MLLT1/DNAJC3/PTPRC/HIPK3/PRKAR2A/PRKAR1A/CDKN2B/PTEN/CDK5RAP3/SH3BP5/LATS2/APC/IRAK3/MVP/SORL1",19
"20","down","down","GO:0033673","negative regulation of kinase activity","20/441","267/18862",5.1734560892661e-06,0.00114954194303493,0.00090562710278416,"HEXIM1/SFRP1/PRKCD/TAOK3/MLLT1/DNAJC3/PTPRC/HIPK3/PRKAR2A/MIDN/PRKAR1A/CDKN2B/PTEN/CDK5RAP3/SH3BP5/LATS2/APC/IRAK3/MVP/SORL1",20
"21","down","down","GO:0046777","protein autophosphorylation","18/441","226/18862",6.58026170748088e-06,0.00139250871562119,0.00109704012225972,"KDR/DAPK1/TAOK2/SLK/CSNK1G2/DAPK3/TAOK3/OXSR1/PTPRC/RIPK1/IQGAP1/AATK/MKNK1/IRAK3/MVP/HCK/BMX/EPHB4",18
"22","down","down","GO:0051656","establishment of organelle localization","26/441","431/18862",1.11120299436782e-05,0.00224439014144984,0.00176816561903979,"GOLGA2/SYNE2/ACTN4/BICD2/CCDC186/ADGRE2/MYH9/KIF5B/ACTR2/MYO1F/KIF1B/KIF3C/VPS4B/RAB27A/TCIRG1/DNM2/LAMP1/ARFGAP3/CSNK1D/PIK3CG/CHMP4B/AP3D1/LIMK2/MYO5A/F5/MAP1B",26
"23","down","down","GO:0042326","negative regulation of phosphorylation","25/441","407/18862",1.20683820661126e-05,0.00224439014144984,0.00176816561903979,"HEXIM1/SFRP1/ROCK1/PRKCD/TAOK3/MLLT1/DNAJC3/PTPRC/HIPK3/INHBA/PRKAR2A/MIDN/PRKAR1A/CDKN2B/PTEN/CDK5RAP3/SH3BP5/LATS2/HDAC4/APC/PPARGC1A/IRAK3/MVP/LRRK1/SORL1",25
"24","down","down","GO:2000377","regulation of reactive oxygen species metabolic process","16/441","192/18862",1.21209188557147e-05,0.00224439014144984,0.00176816561903979,"ROCK2/MMP8/ALOX5/HK2/PRKCD/PLIN5/RIPK1/RAB27A/ITGB2/CYP1B1/HDAC4/ITGAM/DNM2/GNAI3/SOD2/PTX3",16
"25","down","down","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","8/441","48/18862",1.39235826327696e-05,0.00247505604880113,0.0019498878246986,"SFRP1/DAPK3/CTNNA1/PTPRC/INHBA/RIPK1/PTEN/STK3",8
"26","down","down","GO:1990845","adaptive thermogenesis","14/441","153/18862",1.47813823084177e-05,0.00252647934533109,0.0019903999011254,"GRB10/CEBPB/NOTCH1/PTH2R/ARNTL/LCN2/IL18R1/ZNF516/MFN2/APC/PPARGC1A/SORL1/ADAM17/NRDC",14
"27","down","down","GO:0010810","regulation of cell-substrate adhesion","17/441","218/18862",1.56007732546091e-05,0.00256777171642528,0.00202293067621169,"KDR/ROCK2/FLNA/SLK/OLFM4/SFRP1/ROCK1/ACTN4/DAPK3/NOTCH1/PREX1/IQGAP1/PTEN/JAG1/VCL/DNM2/MMP14",17
"28","down","down","GO:0016050","vesicle organization","22/441","339/18862",1.73709194448915e-05,0.00275701307189634,0.00217201797269583,"GOLGA2/RAB20/KIF5B/SORT1/HGS/STX11/ZFYVE16/VPS4B/RAB27A/SDCBP/STAM2/STX4/DNM2/GNAI3/ARFGAP3/CSNK1D/CHMP4B/TMF1/AP3D1/DYSF/F5/LYST",22
"29","down","down","GO:0001562","response to protozoan","6/441","25/18862",1.91694099934828e-05,0.0028251426005827,0.00222569147982805,"ARG1/CCDC88B/DEFA1/SLC11A1/BCL3/LYST",6
"30","down","down","GO:0042832","defense response to protozoan","6/441","25/18862",1.91694099934828e-05,0.0028251426005827,0.00222569147982805,"ARG1/CCDC88B/DEFA1/SLC11A1/BCL3/LYST",6
"31","down","down","GO:0030099","myeloid cell differentiation","25/441","419/18862",1.97073403731017e-05,0.0028251426005827,0.00222569147982805,"LTF/SFRP1/CEBPB/ARID4A/MYH9/HCLS1/INHBA/TMOD3/RIPK1/CDKN2B/JAG1/WDR1/TCIRG1/CDK5RAP3/JUNB/GAB3/AGO4/PITHD1/PAF1/LRRK1/STAT5B/STAT3/THOC5/MAEA/CTR9",25
"32","down","down","GO:0051648","vesicle localization","17/441","224/18862",2.21660893949466e-05,0.00299427578088618,0.00235893724175173,"GOLGA2/ACTN4/CCDC186/KIF5B/MYO1F/KIF1B/PTEN/RAB27A/TCIRG1/DNM2/ARFGAP3/CSNK1D/PIK3CG/AP3D1/LIMK2/MYO5A/F5",17
"33","down","down","GO:0009896","positive regulation of catabolic process","26/441","450/18862",2.34309956204213e-05,0.00299427578088618,0.00235893724175173,"KDR/ROCK2/DAPK1/LPCAT1/ROCK1/UPF1/NEDD4/PRKCD/ADAM8/PLIN5/PFKFB3/PTEN/RNF40/ADAM9/ATF6/CHFR/PFKFB4/SESN2/APC/GNAI3/CSNK1D/SORL1/NRDC/MEFV/RALB/VCP",26
"34","down","down","GO:0051348","negative regulation of transferase activity","20/441","296/18862",2.35148240684038e-05,0.00299427578088618,0.00235893724175173,"HEXIM1/SFRP1/PRKCD/TAOK3/MLLT1/DNAJC3/PTPRC/HIPK3/PRKAR2A/MIDN/PRKAR1A/CDKN2B/PTEN/CDK5RAP3/SH3BP5/LATS2/APC/IRAK3/MVP/SORL1",20
"35","down","down","GO:2000379","positive regulation of reactive oxygen species metabolic process","11/441","101/18862",2.41866251130001e-05,0.00299427578088618,0.00235893724175173,"MMP8/PRKCD/RIPK1/RAB27A/ITGB2/HDAC4/ITGAM/DNM2/GNAI3/SOD2/PTX3",11
"36","down","down","GO:0048193","Golgi vesicle transport","23/441","372/18862",2.42560594311212e-05,0.00299427578088618,0.00235893724175173,"GOLGB1/GOLGA2/GAK/BICD2/SPTBN5/SORT1/EXOC6/TRAPPC8/KIF3C/TBC1D14/SPTBN4/STX4/TRAPPC11/DNM2/LAMP1/ARFGAP3/CSNK1D/SORL1/COPB2/AP3D1/MYO5A/F5/VCP",23
"37","down","down","GO:0034504","protein localization to nucleus","19/441","275/18862",2.76084529932617e-05,0.00331599905681229,0.00261239586502385,"TPR/FLNA/PRKCD/CTNNA1/SYNE1/NUP153/HCLS1/CDK5RAP3/KPNA1/LATS2/BANP/SESN2/ABCA7/MAPK1/PAF1/BCL3/TNPO3/LIMK2/STAT3",19
"38","down","down","GO:0007160","cell-matrix adhesion","17/441","230/18862",3.10845616475533e-05,0.00363525768320334,0.00286391279888538,"KDR/ROCK2/TAOK2/ITGB4/SLK/SFRP1/ROCK1/DAPK3/COL17A1/IQGAP1/PTEN/JAG1/ITGB2/VCL/ADAM9/MMP14/THBS3",17
"39","down","down","GO:0106106","cold-induced thermogenesis","13/441","144/18862",3.42759883513146e-05,0.00380806230583105,0.00300005098043349,"GRB10/CEBPB/NOTCH1/PTH2R/ARNTL/LCN2/IL18R1/ZNF516/MFN2/APC/PPARGC1A/ADAM17/NRDC",13
"40","down","down","GO:0120161","regulation of cold-induced thermogenesis","13/441","144/18862",3.42759883513146e-05,0.00380806230583105,0.00300005098043349,"GRB10/CEBPB/NOTCH1/PTH2R/ARNTL/LCN2/IL18R1/ZNF516/MFN2/APC/PPARGC1A/ADAM17/NRDC",13
"41","down","down","GO:0043434","response to peptide hormone","25/441","435/18862",3.66459768938149e-05,0.00383511773388973,0.00302136566936312,"ARG1/ROCK2/ROCK1/AHCYL1/GRB10/PRKCD/SORT1/PRKAR2A/IQGAP1/PRKAR1A/INPPL1/PTEN/RNF40/TCIRG1/STAT5A/SESN2/APC/SORL1/ZNF106/ATP2B1/STXBP3/STAT5B/MYO5A/STAT3/MAP1B",25
"42","down","down","GO:0071901","negative regulation of protein serine/threonine kinase activity","13/441","145/18862",3.68664825754801e-05,0.00383511773388973,0.00302136566936312,"HEXIM1/SFRP1/PRKCD/HIPK3/PRKAR2A/PRKAR1A/CDKN2B/PTEN/CDK5RAP3/LATS2/APC/IRAK3/SORL1",13
"43","down","down","GO:0072593","reactive oxygen species metabolic process","19/441","281/18862",3.71084749228754e-05,0.00383511773388973,0.00302136566936312,"ROCK2/MMP8/ALOX5/HK2/PRKCD/PREX1/PLIN5/RIPK1/RAB27A/ITGB2/CYP1B1/HDAC4/ITGAM/SESN2/DNM2/GNAI3/SH3PXD2B/SOD2/PTX3",19
"44","down","down","GO:0032970","regulation of actin filament-based process","23/441","389/18862",4.85432157541024e-05,0.00490286479116434,0.0038625534832092,"ROCK2/DSC2/TRPM2/TAOK2/NEB/FLII/FLNA/SFRP1/ROCK1/DAPK3/PRKCD/SPTBN5/MYH9/PREX1/ACTR2/HCLS1/TMOD3/GBA2/IQGAP1/WDR1/SPTBN4/PAM/HCK",23
"45","down","down","GO:0007030","Golgi organization","13/441","150/18862",5.25466790778214e-05,0.00518927648492974,0.00408819309035869,"GOLGB1/GOLGA2/RAB43/GAK/SYNE1/SPTBN5/ATP8B4/VCPIP1/TRAPPC8/TRAPPC11/MAPK1/DNM2/CSNK1D",13
"46","down","down","GO:0030705","cytoskeleton-dependent intracellular transport","15/441","195/18862",5.72722328639827e-05,0.00553299571407694,0.00435898046923585,"CCDC88B/CEP131/SYNE2/ACTN4/BICD2/CCDC186/KIF5B/MYO1F/KIF1B/KIF3C/TUBA1A/LAMP1/AP3D1/MYO5A/MAP1B",15
"47","down","down","GO:0016197","endosomal transport","17/441","242/18862",5.89375966992149e-05,0.00557273786662364,0.00439028995793032,"SNX18/SORT1/HGS/ITSN1/ZFYVE16/VPS4B/ITSN2/TBC1D14/STAM2/ACAP2/SORL1/CHMP4B/USP7/AP3D1/RAB11FIP4/LYST/VCP",17
"48","down","down","GO:0035987","endodermal cell differentiation","7/441","44/18862",6.60535957040526e-05,0.00611546206893353,0.00481785656385261,"MMP8/INHBA/ITGB2/PAF1/MMP14/RTF1/CTR9",7
