,...1,ENTREZID,ENSEMBL,SYMBOL,logFC,logCPM,F,PValue,FDR,direction
ENSG00000144820,ADGRG7,84873,ENSG00000144820,ADGRG7,-7.912902411,1.772294535,34.76894521,8.46E-07,0.010940189,down
ENSG00000198744,MTCO3P12,107075270,ENSG00000198744,MTCO3P12,-4.638269374,-0.907635199,32.82473522,1.43E-06,0.010940189,down
ENSG00000154529,CNTNAP3B,728577,ENSG00000154529,CNTNAP3B,-4.664320066,-1.769090943,27.09716854,7.33E-06,0.029164017,down
ENSG00000201772,SNORA5C,677796,ENSG00000201772,SNORA5C,0.83575304,2.525528089,26.97248023,7.61E-06,0.029164017,up
ENSG00000118520,ARG1,383,ENSG00000118520,ARG1,-1.985277955,3.834660675,22.12187242,3.47E-05,0.106268821,down
ENSG00000128052,KDR,3791,ENSG00000128052,KDR,-3.974454587,-0.596011293,20.94332167,5.11E-05,0.122176768,down
ENSG00000125844,RRBP1,6238,ENSG00000125844,RRBP1,-0.479939056,6.236688009,20.09889447,6.79E-05,0.122176768,down
ENSG00000134318,ROCK2,9475,ENSG00000134318,ROCK2,-0.313210118,6.533883743,19.31815922,8.87E-05,0.122176768,down
ENSG00000206838,SNORA5A,654319,ENSG00000206838,SNORA5A,0.65236011,3.027015428,18.88351899,0.000103051,0.122176768,up
ENSG00000130254,SAFB2,9667,ENSG00000130254,SAFB2,-0.244114633,6.35964478,18.80914292,0.00010575,0.122176768,down
ENSG00000198242,RPL23A,6147,ENSG00000198242,RPL23A,0.541796705,6.723208597,18.74782063,0.00010803,0.122176768,up
ENSG00000136270,TBRG4,9238,ENSG00000136270,TBRG4,0.418488231,5.87142273,18.73738928,0.000108423,0.122176768,up
ENSG00000269900,RMRP,6023,ENSG00000269900,RMRP,0.573229674,13.27170089,18.71000911,0.000109462,0.122176768,up
ENSG00000243964,RPL23AP65,440027,ENSG00000243964,RPL23AP65,0.543697861,4.539577042,18.2295455,0.000129516,0.122176768,up
ENSG00000101842,VSIG1,340547,ENSG00000101842,VSIG1,0.521364283,3.757063192,18.06132371,0.000137428,0.122176768,up
ENSG00000122420,PTGFR,5737,ENSG00000122420,PTGFR,-2.404508758,-1.237762807,18.04692058,0.000138128,0.122176768,down
