"","...1","ENTREZID","ENSEMBL","SYMBOL","logFC","logCPM","F","PValue","FDR","direction"
"ENSG00000144820","ADGRG7",84873,"ENSG00000144820","ADGRG7",-7.91290241140919,1.77229453526442,34.7689452079068,8.45517287222542e-07,0.0109401888763752,"down"
"ENSG00000198744","MTCO3P12",107075270,"ENSG00000198744","MTCO3P12",-4.63826937438889,-0.907635198670353,32.8247352215026,1.4271052538971e-06,0.0109401888763752,"down"
"ENSG00000154529","CNTNAP3B",728577,"ENSG00000154529","CNTNAP3B",-4.66432006550826,-1.76909094256767,27.0971685400717,7.32988777959261e-06,0.0291640168218632,"down"
"ENSG00000201772","SNORA5C",677796,"ENSG00000201772","SNORA5C",0.835753040456908,2.52552808924406,26.9724802312015,7.60866601144358e-06,0.0291640168218632,"up"
"ENSG00000118520","ARG1",383,"ENSG00000118520","ARG1",-1.98527795530329,3.83466067495255,22.1218724183543,3.46558901179883e-05,0.106268821457799,"down"
"ENSG00000128052","KDR",3791,"ENSG00000128052","KDR",-3.9744545872548,-0.596011292701012,20.9433216733263,5.11252885546618e-05,0.122176767750838,"down"
"ENSG00000125844","RRBP1",6238,"ENSG00000125844","RRBP1",-0.47993905636443,6.23668800922104,20.0988944685461,6.79142658472739e-05,0.122176767750838,"down"
"ENSG00000134318","ROCK2",9475,"ENSG00000134318","ROCK2",-0.313210117505951,6.53388374296817,19.3181592228529,8.86733566484942e-05,0.122176767750838,"down"
"ENSG00000206838","SNORA5A",654319,"ENSG00000206838","SNORA5A",0.652360109732639,3.02701542801625,18.8835189887264,0.000103051467842922,0.122176767750838,"up"
"ENSG00000130254","SAFB2",9667,"ENSG00000130254","SAFB2",-0.244114633106624,6.35964478047588,18.809142916727,0.000105749536066372,0.122176767750838,"down"
"ENSG00000198242","RPL23A",6147,"ENSG00000198242","RPL23A",0.541796704846388,6.72320859686749,18.7478206309202,0.000108030245537259,0.122176767750838,"up"
"ENSG00000136270","TBRG4",9238,"ENSG00000136270","TBRG4",0.418488230772277,5.87142273001158,18.7373892775822,0.00010842335993395,0.122176767750838,"up"
"ENSG00000269900","RMRP",6023,"ENSG00000269900","RMRP",0.573229674388051,13.2717008941281,18.7100091108365,0.000109462419513228,0.122176767750838,"up"
"ENSG00000243964","RPL23AP65",440027,"ENSG00000243964","RPL23AP65",0.543697860711125,4.53957704229228,18.2295455049238,0.000129516460934909,0.122176767750838,"up"
"ENSG00000101842","VSIG1",340547,"ENSG00000101842","VSIG1",0.521364283067056,3.75706319182137,18.0613237069588,0.00013742755095966,0.122176767750838,"up"
"ENSG00000122420","PTGFR",5737,"ENSG00000122420","PTGFR",-2.40450875848113,-1.23776280655152,18.0469205771288,0.000138128257053477,0.122176767750838,"down"
"ENSG00000242071","RPL7AP6",326310,"ENSG00000242071","RPL7AP6",0.530494488412673,5.6484650601499,17.7942495188285,0.000151055296742399,0.122176767750838,"up"
"ENSG00000168071","CCDC88B",283234,"ENSG00000168071","CCDC88B",-0.596885738864619,7.65448305640589,17.5994256471833,0.000161894636829094,0.122176767750838,"down"
"ENSG00000186834","HEXIM1",10614,"ENSG00000186834","HEXIM1",-0.276432315651061,5.78503101715291,17.5465272329636,0.000164977680776586,0.122176767750838,"down"
"ENSG00000213312","RPL7AP34",441154,"ENSG00000213312","RPL7AP34",0.613154773622424,2.00714453496296,17.4534859293001,0.000170552056176807,0.122176767750838,"up"
"ENSG00000151353","TMEM18",129787,"ENSG00000151353","TMEM18",0.396820773759225,4.38197938179203,17.309434317378,0.00017957926463615,0.122176767750838,"up"
"ENSG00000160633","SAFB",6294,"ENSG00000160633","SAFB",-0.291215444398884,6.95520680224228,17.2379456645759,0.000184245675553569,0.122176767750838,"down"
"ENSG00000173230","GOLGB1",2804,"ENSG00000173230","GOLGB1",-0.436901257599444,7.97886488689058,17.2043162839123,0.000186485050581246,0.122176767750838,"down"
"ENSG00000134755","DSC2",1824,"ENSG00000134755","DSC2",-1.02446054618201,5.80580952887992,16.7239211313249,0.000221819640831373,0.122176767750838,"down"
"ENSG00000173442","EHBP1L1",254102,"ENSG00000173442","EHBP1L1",-0.470128940691242,7.72382550509807,16.4862600488079,0.000241860395124948,0.122176767750838,"down"
"ENSG00000143486","EIF2D",1939,"ENSG00000143486","EIF2D",0.38698376570946,5.65367568364831,16.39921413467,0.000249672696762251,0.122176767750838,"up"
"ENSG00000141577","CEP131",22994,"ENSG00000141577","CEP131",-0.401771770096268,3.02824232579029,16.1452104226708,0.000274035223452902,0.122176767750838,"down"
"ENSG00000105372","RPS19",6223,"ENSG00000105372","RPS19",0.534421778102514,8.63483830796801,16.1249122691306,0.000276087829280067,0.122176767750838,"up"
"ENSG00000213363","RPS3P6",645000,"ENSG00000213363","RPS3P6",0.506875997557219,4.5177359822974,15.9635426972557,0.000292996793189234,0.122176767750838,"up"
"ENSG00000107833","NPM3",10360,"ENSG00000107833","NPM3",0.578940867110253,2.73491363541117,15.9221571689956,0.000297507720582576,0.122176767750838,"up"
"ENSG00000178996","SNX18",112574,"ENSG00000178996","SNX18",-0.504314738847515,8.0597873066324,15.9092019626981,0.000298934877142294,0.122176767750838,"down"
"ENSG00000154845","PPP4R1",9989,"ENSG00000154845","PPP4R1",-0.695252042136992,8.08003170056683,15.7381780413553,0.00031846987910264,0.122176767750838,"down"
"ENSG00000178802","MPI",4351,"ENSG00000178802","MPI",0.411617506380894,4.87029608811327,15.6098150464056,0.000334018266051357,0.122176767750838,"up"
"ENSG00000120942","UBIAD1",29914,"ENSG00000120942","UBIAD1",0.369019999836964,4.98873503500325,15.5245856877586,0.000344784687686211,0.122176767750838,"up"
"ENSG00000270225","MTCO2P22",100289404,"ENSG00000270225","MTCO2P22",-2.65156689369663,-2.23914470704607,15.4625518794223,0.000352851804670952,0.122176767750838,"down"
"ENSG00000211801","TRAV21",28662,"ENSG00000211801","TRAV21",0.613422478338501,2.03742285672129,15.4515428225019,0.00035430423468997,0.122176767750838,"up"
"ENSG00000211806","TRAV25",28658,"ENSG00000211806","TRAV25",0.599781843198273,0.973010371897364,15.4047416890711,0.000360549787081428,0.122176767750838,"up"
"ENSG00000256812","CAPNS2",84290,"ENSG00000256812","CAPNS2",-0.711029563514104,2.58782952194718,15.3829808116582,0.00036349336984223,0.122176767750838,"down"
"ENSG00000047410","TPR",7175,"ENSG00000047410","TPR",-0.353699486093673,8.92062889227694,15.272800852286,0.000378793184721717,0.122176767750838,"down"
"ENSG00000241351","IGKV3-11",28914,"ENSG00000241351","IGKV3-11",0.978849101738113,2.19930877179702,15.136653801517,0.000398647024166513,0.122176767750838,"up"
"ENSG00000213493","ACTN4P1",344978,"ENSG00000213493","ACTN4P1",-0.671976437397316,3.30742705514871,15.0994776826265,0.000404257822940482,0.122176767750838,"down"
